"","id","county","tot_pop","non_wa_percentage"
"95","0500000US02282","Yakutat City and Borough, Alaska",602,0.67109634551495
"96","0500000US02290","Yukon-Koyukuk Census Area, Alaska",5409,0.784987982991311
"97","0500000US04001","Apache County, Arizona",71545,0.818156405059753
"98","0500000US04003","Cochise County, Arizona",124864,0.448856355715018
"99","0500000US04005","Coconino County, Arizona",141001,0.459429365749179
"100","0500000US04007","Gila County, Arizona",53578,0.377505692635037
"101","0500000US04009","Graham County, Arizona",37481,0.491449000827086
"102","0500000US04011","Greenlee County, Arizona",9443,0.532669702425077
"103","0500000US04012","La Paz County, Arizona",20706,0.425432241862262
"104","0500000US04013","Maricopa County, Arizona",4327184,0.446129861822377
"105","0500000US04015","Mohave County, Arizona",207017,0.225445253288377
"106","0500000US04017","Navajo County, Arizona",109079,0.584365459896039
"107","0500000US04019","Pima County, Arizona",1026391,0.482042418532509
"108","0500000US04021","Pinal County, Arizona",431564,0.430747235635966
"109","0500000US04023","Santa Cruz County, Arizona",46566,0.851565519907229
"110","0500000US04025","Yavapai County, Arizona",228082,0.194785208828404
"111","0500000US04027","Yuma County, Arizona",209507,0.68998171898791
"112","0500000US05001","Arkansas County, Arkansas",17872,0.302708146821844
"113","0500000US05003","Ashley County, Arkansas",20311,0.317069568214268
"114","0500000US05005","Baxter County, Arkansas",41308,0.0516849036506246
"115","0500000US05007","Benton County, Arkansas",266585,0.2669242455502
"116","0500000US05009","Boone County, Arkansas",37459,0.0614271603619958
"117","0500000US05011","Bradley County, Arkansas",10813,0.44557477110885
"118","0500000US05013","Calhoun County, Arkansas",5201,0.275716208421457
"119","0500000US05015","Carroll County, Arkansas",27865,0.203373407500449
"120","0500000US05017","Chicot County, Arkansas",10647,0.607588992204377
"121","0500000US05019","Clark County, Arkansas",22184,0.31473133790119
"122","0500000US05021","Clay County, Arkansas",14865,0.046619576185671
"123","0500000US05023","Cleburne County, Arkansas",25059,0.0529550261383136
"124","0500000US05025","Cleveland County, Arkansas",8162,0.152291105121294
"125","0500000US05027","Columbia County, Arkansas",23695,0.407132306393754
"126","0500000US05029","Conway County, Arkansas",20810,0.184286400768861
"127","0500000US05031","Craighead County, Arkansas",107188,0.23702280105982
"128","0500000US05033","Crawford County, Arkansas",62894,0.157010207650968
"129","0500000US05035","Crittenden County, Arkansas",48716,0.581698004762296
"130","0500000US05037","Cross County, Arkansas",16792,0.273701762744164
"131","0500000US05039","Dallas County, Arkansas",7307,0.469276036677159
"132","0500000US05041","Desha County, Arkansas",11743,0.546538363280252
"133","0500000US05043","Drew County, Arkansas",18370,0.335383777898748
"134","0500000US05045","Faulkner County, Arkansas",123530,0.197231441755039
"135","0500000US05047","Franklin County, Arkansas",17809,0.0802964793082149
"136","0500000US05049","Fulton County, Arkansas",12131,0.0486357266507296
"137","0500000US05051","Garland County, Arkansas",98327,0.179350534441201
"138","0500000US05053","Grant County, Arkansas",18103,0.0744075567585483
"139","0500000US05055","Greene County, Arkansas",44993,0.069344120196475
"140","0500000US05057","Hempstead County, Arkansas",21876,0.452413603949534
"141","0500000US05059","Hot Spring County, Arkansas",33606,0.172885794203416
"142","0500000US05061","Howard County, Arkansas",13365,0.356228956228956
"143","0500000US05063","Independence County, Arkansas",37391,0.113262549811452
"144","0500000US05065","Izard County, Arkansas",13666,0.069442411824967
"145","0500000US05067","Jackson County, Arkansas",17017,0.229828994534877
"146","0500000US05069","Jefferson County, Arkansas",69238,0.61203385424189
"147","0500000US05071","Johnson County, Arkansas",26401,0.205977046324003
"148","0500000US05073","Lafayette County, Arkansas",6797,0.411357952037664
"149","0500000US05075","Lawrence County, Arkansas",16571,0.0466477581316758
"150","0500000US05077","Lee County, Arkansas",9127,0.59066505971294
"151","0500000US05079","Lincoln County, Arkansas",13475,0.357996289424861
"152","0500000US05081","Little River County, Arkansas",12373,0.269457690131738
"153","0500000US05083","Logan County, Arkansas",21739,0.0958645751874512
"154","0500000US05085","Lonoke County, Arkansas",72778,0.140509494627497
"155","0500000US05087","Madison County, Arkansas",16299,0.104791705012578
"156","0500000US05089","Marion County, Arkansas",16429,0.0591636739911133
"157","0500000US05091","Miller County, Arkansas",43736,0.313517468447046
"158","0500000US05093","Mississippi County, Arkansas",42112,0.419001709726444
"159","0500000US05095","Monroe County, Arkansas",7013,0.458006559247113
"160","0500000US05097","Montgomery County, Arkansas",8890,0.089201349831271
"161","0500000US05099","Nevada County, Arkansas",8309,0.374894692502106
"162","0500000US05101","Newton County, Arkansas",7815,0.0615483045425463
"163","0500000US05103","Ouachita County, Arkansas",23817,0.447369525968846
"164","0500000US05105","Perry County, Arkansas",10346,0.0776145370191378
"165","0500000US05107","Phillips County, Arkansas",18599,0.656809505887413
"166","0500000US05109","Pike County, Arkansas",10735,0.124545877969259
"167","0500000US05111","Poinsett County, Arkansas",24071,0.131569108055336
"168","0500000US05113","Polk County, Arkansas",20147,0.120911301930809
"169","0500000US05115","Pope County, Arkansas",63634,0.158107301128328
"170","0500000US05117","Prairie County, Arkansas",8248,0.152279340446169
"171","0500000US05119","Pulaski County, Arkansas",393280,0.476350183075671
"172","0500000US05121","Randolph County, Arkansas",17665,0.0559298046985565
"173","0500000US05123","St. Francis County, Arkansas",25997,0.598953725429857
"174","0500000US05125","Saline County, Arkansas",119520,0.153304886211513
"175","0500000US05127","Scott County, Arkansas",10369,0.155559841836243
