"","id","county","non_wa_percentage","tot_pop","median_HH_income","five_mg_percentage","ten_mg_percentage","score"
"1","0500000US19061","Dubuque County, Iowa",0.0940803164856902,97066,62178,0.882978723404255,0.0106382978723404,0.463501619333818
"2","0500000US42077","Lehigh County, Pennsylvania",0.354554580840698,365577,65667,0.288716177317214,0.0210132412204951,0.311624888674444
"3","0500000US39035","Cuyahoga County, Ohio",0.409127744010209,1247581,52423,0.095356738391846,0.0314382785956965,0.200610202221195
"4","0500000US40125","Pottawatomie County, Oklahoma",0.276234674793932,72185,53511,0.100671140939597,0.0402684563758389,0.184935835054722
"5","0500000US17143","Peoria County, Illinois",0.29955348582386,182525,57247,0.0895208004212744,0.028436018957346,0.145429273561795
"6","0500000US36065","Oneida County, New York",0.17953923942768,230011,57391,0.117129316181449,0.0313698939291356,0.137987586039084
"7","0500000US42069","Lackawanna County, Pennsylvania",0.146879796247107,210451,53826,0.117647058823529,0.0315126050420168,0.133668159899211
"8","0500000US29510","St. Louis city, Missouri",0.560747875795259,308233,47176,0.0535084280674245,0.0132301058408467,0.131895494339383
"9","0500000US40101","Muskogee County, Oklahoma",0.439277384211975,69027,42450,0.0787037037037037,0,0.12768340193513
"10","0500000US42043","Dauphin County, Pennsylvania",0.341302944355383,275714,60733,0.080306905370844,0.0168797953964194,0.114012096520515
"11","0500000US22071","Orleans Parish, Louisiana",0.691718625875814,391493,45615,0.0261394101876676,0.014745308310992,0.105393510978143
"12","0500000US24510","Baltimore city, Maryland",0.723429558004262,610481,50177,0.0416611993176748,0.00898832174255347,0.105041981564896
"13","0500000US17031","Cook County, Illinois",0.575738330544351,5200821,69429,0.0480090369951991,0.0196978254730302,0.0992553524721022
"14","0500000US13021","Bibb County, Georgia",0.616389688563203,152840,42140,0.0319148936170213,0.00967117988394584,0.0992284092998634
"15","0500000US39095","Lucas County, Ohio",0.311932330949172,431039,49448,0.0546982167352538,0.0138888888888889,0.096795813274835
"16","0500000US42011","Berks County, Pennsylvania",0.281618927405506,417511,67708,0.0701345755693582,0.0232919254658385,0.0950556434441108
"17","0500000US42107","Schuylkill County, Pennsylvania",0.088974610744845,142580,56295,0.106612685560054,0.0323886639676113,0.0943618148869966
"18","0500000US42095","Northampton County, Pennsylvania",0.231736354899753,302801,74328,0.107234479220113,0.0143663417136993,0.0915010801446681
"19","0500000US42075","Lebanon County, Pennsylvania",0.176477753971609,139553,61204,0.0832420591456736,0.0219058050383352,0.0906149669744638
"20","0500000US55079","Milwaukee County, Wisconsin",0.486003586719036,950172,53418,0.0394216086509396,0.0135872105706005,0.0903083691781216
"21","0500000US42021","Cambria County, Pennsylvania",0.0713146811070999,132960,49076,0.110355253212396,0.0204081632653061,0.0854747842612746
"22","0500000US36029","Erie County, New York",0.244345693412866,919034,60652,0.0560849712130236,0.0205975779233671,0.0823813481352179
"23","0500000US39023","Clark County, Ohio",0.158849192487495,134549,50128,0.0575575575575576,0.021021021021021,0.0822843547817645
"24","0500000US26163","Wayne County, Michigan",0.503323721543782,1757217,50753,0.0355423672931091,0.00992416749093307,0.0804537700547843
"25","0500000US18097","Marion County, Indiana",0.445204131980133,950537,50458,0.0377522869173806,0.0098736750399303,0.0790063886944719
"26","0500000US34013","Essex County, New Jersey",0.689438926902652,796349,64626,0.0420752565564424,0.00851387305207146,0.0789037631990361
"27","0500000US42097","Northumberland County, Pennsylvania",0.0737889905256157,91721,47349,0.0785123966942149,0.0268595041322314,0.0788255723719846
"28","0500000US42079","Luzerne County, Pennsylvania",0.184205558072799,317808,53972,0.0628714419768533,0.0159524554269628,0.07831237460691
"29","0500000US42101","Philadelphia County, Pennsylvania",0.653584933832131,1580601,47474,0.0289297275252976,0.00764662401549716,0.0782511446330134
"30","0500000US42025","Carbon County, Pennsylvania",0.0817352885880804,63828,61111,0.0954063604240283,0.0300353356890459,0.0755786618094914
"31","0500000US17179","Tazewell County, Illinois",0.0600573830053412,133489,65848,0.102473498233216,0.0459363957597173,0.075156130976793
"32","0500000US29021","Buchanan County, Missouri",0.167099030002256,88660,46922,0.0509641873278237,0.0151515151515152,0.0735653638898955
"33","0500000US39081","Jefferson County, Ohio",0.0954944358997557,66318,47445,0.064066852367688,0.0222841225626741,0.0735218266631616
"34","0500000US34011","Cumberland County, New Jersey",0.535176294222146,151423,54587,0.039240112114606,0.00622858922454064,0.071990391751058
"35","0500000US19013","Black Hawk County, Iowa",0.187328906970765,132238,60506,0.0690571049136786,0.0132802124833997,0.0710704432568046
"36","0500000US42013","Blair County, Pennsylvania",0.0525550764533443,123147,51004,0.0999107939339875,0.0258697591436218,0.0708262022351905
"37","0500000US42049","Erie County, Pennsylvania",0.155509983257664,273558,51818,0.0608354359405663,0.0134566862910008,0.0693884627611324
"38","0500000US42039","Crawford County, Pennsylvania",0.0513920626777969,85772,49428,0.0949367088607595,0.0253164556962025,0.0693734484037914
"39","0500000US20209","Wyandotte County, Kansas",0.589640613736999,165087,46964,0.0268872802481903,0.0062047569803516,0.0667626067336128
"40","0500000US36001","Albany County, New York",0.277173506826077,307717,69953,0.049736564805058,0.0172813487881981,0.0659235878991363
"41","0500000US42063","Indiana County, Pennsylvania",0.0595565415432543,84743,51914,0.0705725699067909,0.0306258322237017,0.0643906853083008
"42","0500000US26025","Calhoun County, Michigan",0.225026084364287,134180,49055,0.0384093990058744,0.0126525079078174,0.0640204021114675
"43","0500000US12031","Duval County, Florida",0.468309570086563,937933,58415,0.0419370153505301,0.00490583953157145,0.062992534142159
"44","0500000US42007","Beaver County, Pennsylvania",0.104452654327695,165654,60672,0.0817757009345794,0.0155763239875389,0.0625060355845482
"45","0500000US36067","Onondaga County, New York",0.230197381955197,461795,61577,0.0463461538461538,0.0149038461538462,0.0616553905650661
"46","0500000US35031","McKinley County, New Mexico",0.913425293069881,72423,37153,0.0227848101265823,0,0.0609025658746744
